customer_key,customer_name,segment,is_copier_buyer,lifetime_sales,lifetime_profit,lifetime_margin
AA-10315,Alex Avila,Consumer,False,13747.413,447.69049999999964,0.032565436129692156
AA-10375,Allen Armold,Consumer,False,5884.195000000001,677.4774,0.11513510344235701
AA-10480,Andrew Allen,Consumer,True,17695.589780000002,1516.47518,0.08569791676081676
AA-10645,Anna Andreadi,Consumer,True,15343.890699999998,3051.439,0.19886996457814968
AA-315,Alex Avila,Consumer,True,2243.256,535.566,0.23874493147460657
AA-375,Allen Armold,Consumer,False,654.492,77.44200000000001,0.11832382977943201
AA-480,Andrew Allen,Consumer,False,2063.493,554.6129999999999,0.268773870325705
AA-645,Anna Andreadi,Consumer,True,1968.3240000000003,-608.3459999999999,-0.3090680192895071
AB-10015,Aaron Bergman,Consumer,True,20037.4975,3719.488,0.18562637375251073
AB-10060,Adam Bellavance,Home Office,False,18416.5504,4514.0589,0.2451088179901487
AB-10105,Adrian Barton,Consumer,True,22966.78,6912.6145,0.3009831809247966
AB-10150,Aimee Bixby,Consumer,True,13057.294600000001,2064.2143,0.15808897349991627
AB-10165,Alan Barnes,Consumer,True,11649.265000000001,2329.4700000000003,0.19996712238926662
AB-10255,Alejandro Ballentine,Home Office,True,10786.7164,-43.238100000000344,-0.004008458032696618
AB-105,Adrian Barton,Consumer,True,2156.4,-495.3299999999999,-0.22970228158041175
AB-10600,Ann Blume,Corporate,False,13318.6631,905.3606999999998,0.06797684521354098
AB-15,Aaron Bergman,Consumer,True,4607.13,963.7199999999999,0.20918011864219155
AB-150,Aimee Bixby,Consumer,False,3143.88,862.1399999999999,0.2742280239703805
AB-165,Alan Barnes,Consumer,True,1399.7759999999998,106.59599999999999,0.07615218434949592
AB-255,Alejandro Ballentine,Home Office,True,4679.502,801.8520000000001,0.17135413127294316
AB-60,Adam Bellavance,Home Office,False,1770.228,465.918,0.26319660518306115
AB-600,Ann Blume,Corporate,False,5408.55,964.65,0.178356491111296
AC-10420,Alyssa Crouse,Corporate,False,10607.6947,206.48050000000006,0.01946516239763198
AC-10450,Amy Cox,Consumer,False,16126.3904,4105.6042,0.2545891608825246
AC-10615,Ann Chong,Corporate,True,12729.72448,1160.67578,0.09117838974626417
AC-10660,Anna Chung,Consumer,True,6255.61908,-998.99732,-0.15969599606758664
AC-420,Alyssa Crouse,Corporate,False,1689.675,237.555,0.14059212570464735
AC-450,Amy Cox,Consumer,False,1026.597,-125.19299999999998,-0.12194950891148132
AC-615,Ann Chong,Corporate,False,2298.4320000000002,-280.5479999999999,-0.122060604794921
AC-660,Anna Chung,Consumer,True,2676.09,726.87,0.2716164254565429
AD-10180,Alan Dominguez,Home Office,True,17858.5048,2050.7542,0.11483347698851026
AD-180,Alan Dominguez,Home Office,False,681.288,-510.762,-0.7497005671610244
AF-10870,Art Ferguson,Consumer,True,26487.2585,1736.0717,0.06554365375336976
AF-10885,Art Foster,Consumer,True,19711.167279999998,2882.91478,0.1462579429745472
AF-870,Art Ferguson,Consumer,False,1700.082,542.232,0.31894461561265863
AF-885,Art Foster,Consumer,False,354.99,88.32,0.2487957407250908
AG-10270,Alejandro Grove,Consumer,True,10637.40422,2151.99612,0.20230462954053274
AG-10300,Aleksandra Gannaway,Corporate,True,13013.8762,1845.7666000000002,0.14183065611151274
AG-10330,Alex Grayson,Consumer,True,14534.506179999998,929.46708,0.06394899616740884
AG-10390,Allen Goldenen,Consumer,True,8453.0096,995.7429999999999,0.11779745287406275
AG-10495,Andrew Gjertsen,Corporate,True,15380.31006,2749.06186,0.17873904032335222
AG-10525,Andy Gerbode,Corporate,True,8468.963,36.033700000000096,0.0042547948314333285
AG-10675,Anna Gayman,Consumer,True,13023.836,680.7906999999998,0.05227267143105916
AG-10765,Anthony Garverick,Home Office,True,9824.779499999999,1250.5845,0.12728881090919142
AG-10900,Arthur Gainer,Consumer,True,18174.17176,1879.7671599999999,0.1034306919084603
AG-270,Alejandro Grove,Consumer,True,2779.806,450.576,0.1620890090891235
AG-300,Aleksandra Gannaway,Corporate,False,1703.3100000000002,-1072.62,-0.6297268260034872
AG-330,Alex Grayson,Consumer,False,532.545,77.50500000000001,0.1455369968735037
AG-390,Allen Goldenen,Consumer,True,473.1120000000001,-548.478,-1.1592984325064675
AG-495,Andrew Gjertsen,Corporate,False,1003.9920000000001,-106.84800000000001,-0.10642315875026893
AG-525,Andy Gerbode,Corporate,False,2870.6760000000004,133.356,0.046454563315400266
AG-675,Anna Gayman,Consumer,True,2368.131,242.2710000000001,0.10230472891913502
AG-765,Anthony Garverick,Home Office,True,1859.5320000000002,-1075.2779999999998,-0.5782519472641502
AG-900,Arthur Gainer,Consumer,False,1699.47,-146.51999999999998,-0.08621511412381506
AH-10030,Aaron Hawkins,Corporate,True,14439.49784,2601.43304,0.1801609078671395
AH-10075,Adam Hart,Corporate,True,18109.86142,986.0434199999997,0.05444787219139304
AH-10120,Adrian Hane,Home Office,True,9927.83588,1705.13728,0.1717531696343876
AH-10195,Alan Haines,Corporate,True,12628.191780000001,158.90888000000012,0.012583660651374754
AH-10210,Alan Hwang,Consumer,True,20365.74018,4139.66078,0.20326591341204078
AH-10465,Amy Hunt,Consumer,True,8547.83068,611.8889799999997,0.07158412501451185
AH-10585,Angele Hood,Consumer,True,9125.8911,1458.3500999999999,0.15980358345498993
AH-10690,Anna Häberlin,Corporate,True,16276.161119999999,2795.8437199999994,0.171775377460751
AH-120,Adrian Hane,Home Office,False,1478.0819999999999,376.242,0.2545474472999469
AH-195,Alan Haines,Corporate,True,2651.565,-751.1549999999999,-0.2832874170537022
AH-210,Alan Hwang,Consumer,False,3277.11,202.70999999999995,0.06185633073043015
AH-30,Aaron Hawkins,Corporate,True,6320.0160000000005,-150.5039999999998,-0.023813863762370185
AH-465,Amy Hunt,Consumer,True,650.8259999999999,106.446,0.16355523596168564
AH-585,Angele Hood,Consumer,True,2232.222,151.722,0.06796904608950184
AH-690,Anna Häberlin,Corporate,True,1817.8980000000004,-329.83199999999977,-0.18143592214744705
AH-75,Adam Hart,Corporate,True,3608.34,915.99,0.2538535725569098
AI-10855,Arianne Irving,Consumer,False,8358.6023,1612.7634,0.19294654083494317
AI-855,Arianne Irving,Consumer,False,919.9739999999999,-74.58599999999996,-0.08107403035303168
AJ-10780,Anthony Jacobs,Corporate,False,15186.0672,1784.2461999999998,0.11749231558780406
AJ-10795,Anthony Johnson,Corporate,True,8887.077,1861.0923999999998,0.2094155817486447
AJ-10945,Ashley Jarboe,Consumer,True,11087.024,1567.6391999999998,0.14139404767230593
AJ-10960,Astrea Jones,Consumer,True,8633.59348,1518.6719799999998,0.17590265090869206
AJ-780,Anthony Jacobs,Corporate,True,2570.994,-612.006,-0.23804256252640027
AJ-795,Anthony Johnson,Corporate,True,3395.58,617.4900000000001,0.1818511123283799
AJ-945,Ashley Jarboe,Consumer,True,4860.924,1439.0639999999999,0.29604741814519214
AJ-960,Astrea Jones,Consumer,False,4629.156000000001,1012.6860000000003,0.21876255628455815
AM-10360,Alice McCarthy,Corporate,True,16730.3296,2748.4754,0.16428100735086532
AM-10705,Anne McFarland,Consumer,True,24218.5645,2728.6450999999997,0.11266749934745306
AM-360,Alice McCarthy,Corporate,True,2035.8269999999998,229.377,0.11267018268251676
AM-705,Anne McFarland,Consumer,True,1303.77,509.94,0.3911272693803355
AO-10810,Anthony O'Donnell,Corporate,False,14537.7966,1028.3926,0.07073923430735025
AO-810,Anthony O'Donnell,Corporate,False,485.007,64.707,0.13341456927425788
AP-10720,Anne Pryor,Home Office,True,15362.0613,2937.4660999999996,0.1912156215650565
AP-10915,Arthur Prichep,Consumer,True,15877.8603,2420.1056,0.15242013434266075
AP-720,Anne Pryor,Home Office,False,999.699,55.299,0.05531565001065321
AP-915,Arthur Prichep,Consumer,True,2668.08,717.5100000000001,0.26892372042817314
AR-10345,Alex Russell,Corporate,True,14165.796199999999,1683.9278000000002,0.11887279586868547
AR-10405,Allen Rosenblatt,Corporate,True,8956.82078,-583.4818199999999,-0.06514385341982916
AR-10510,Andrew Roberts,Consumer,True,14277.88536,3518.96086,0.2464623276678277
AR-10540,Andy Reiter,Consumer,True,7983.9505,3050.9132999999997,0.3821307885112764
AR-10570,Anemone Ratner,Consumer,True,9445.64932,1584.83232,0.16778436995795645
